,Question,Type,category_id
0,What is the purpose of double pulsing a thyristor?,summary,0
0,What is the purpose of life?,summary,0
0,How many minutes does it take to soft boil an egg?,factoid,3
0,Which is Better: Raw egg or Boiled egg?,factoid,3
0,How long does the USPS first class shipping take from Phoenix to Los Angeles?,yesno,2
0,How long does it take to ship USPS to Hong Kong?,yesno,2
0,What are my options for earning money online?,summary,0
0,What are some best ways to earn money online?,summary,0
0,What are the things to consider when buying a new laptop?,summary,0
0,What are the things to be considered while buying a new laptop?,summary,0
0,Which is the best destination for honeymoon in December within a budget of INR 2 lakhs for a couple?,factoid,3
0,Which is the best destination for honeymoon in december within a budget of INR 4 lakhs for a couple?,factoid,3
0,How should I stop biting my nails?,summary,0
0,How can I stop biting my nails for good?,summary,0
0,How do I avoid looking like a tourist in Paris?,summary,0
0,How do I dress in Paris to avoid looking like a tourist?,summary,0
0,"Presently (2015) how many articles, parts and schedules are there in the Indian Constitution?",factoid,3
0,How many pages are there in the Indian constitution?,factoid,3
0,Is Trump a Manchurian President for Putin?,yesno,2
0,Is President-elect Donald Trump President Putin's Trojan Horse?,yesno,2
0,What is (Ni) Introverted Intuition?,summary,0
0,What is Introverted Intuition?,summary,0
0,How do I plan a bridal shower party?,summary,0
0,How can I plan a bridal shower in another state?,summary,0
0,What are the best pick up lines?,summary,0
0,How do I pick up a girl taller than me?,summary,0
0,Why do the Union territories of Puducherry and Delhi have their own assembly?,yesno,2
0,Why do only the union territories of Delhi and Puducherry have chief ministers and not others?,yesno,2
0,What is the story behind the Black Swan movie?,summary,0
0,What is the story behind the black swan in Swan Lake?,summary,0
0,Are there any jobs where I can combine my creative and tech minds?,yesno,2
0,Is there any respectable job where I can sit and read and get paid good?,yesno,2
0,Is a third world war coming?,yesno,2
0,Is World War 3 more imminent than expected?,yesno,2
0,What would Cersei do if Jon became king?,summary,0
0,What would Melisandre do if Jon became king?,summary,0
0,Why does Islam allow and encourage cousins to marry? Is this still in practice?,yesno,2
0,Do cousins marry each other regularly in Islam?,yesno,2
0,What do you think of the decision by the Indian Government to demonetize 500 and 1000 rupee notes?,yesno,2
0,Is the Indian government's decision to illegalise 500 and 1000 rupee notes a masterstroke or a flawed plan?,yesno,2
0,Are there any famous people with low IQ's?,yesno,2
0,Who are some famous people with low IQs?,yesno,2
0,Is there an archive app that lets you search the text in pictures?,yesno,2
0,Could the study of meteorology be used (in part) to understand the development and movement patterns of cancer?,yesno,2
0,What are some good places to visit in Kerala on tour?,summary,0
0,What are some good beaches to visit in Kerala?,summary,0
0,Can Donald Trump keep his campaign promises?,yesno,2
0,What promises can Donald Trump keep?,yesno,2
0,How come the media doesn't cover/talk about Trump alleged raping of a 13 yr old girl trial?,summary,0
0,Why doesn't the main stream media or Hillary talking about Trumps December trial for raping a 13 yo?,summary,0
0,How do you treat acne scars?,summary,0
0,How do you treat acne?,summary,0
0,How does one make a blog?,summary,0
0,What is the best way to build a successful blog?,summary,0
0,What are the best substitutes for butter extracts?,summary,0
0,What are some good substitutes for butter beans?,summary,0
0,How does the HP OfficeJet 4620 Airprint compare to the HP LaserJet Enterprise M506x?,summary,0
0,How does the HP OfficeJet 4620 Airprint compare to the HP LaserJet Enterprise M606x?,summary,0
0,How do I get my company's website on the first page of Google?,summary,0
0,How do I get my website on the first page on Google [Search for specific Keyword] ?,summary,0
0,How do you get noticed?,summary,0
0,How can I get noticed in Bollywood?,summary,0
0,How can I learn node.js in a week?,summary,0
0,What is the best way of learning Node.js?,summary,0
0,What has been one of the best decisions of your life?,factoid,3
0,What has been the best decision you've made in your life?,factoid,3
0,I am a Portuguese national and I want to move to Norway. Is it possible?,yesno,2
0,"I am 22 (working),I want to be cricketer because I enjoy cricket. Is it still possible for me to join cricket academy and get into national squad?",yesno,2
0,"What is it like teaching at universities in Abu Dhabi for Expats (Masdar, Khalifa, Petroleum inst)?",summary,0
0,What is the reason for Abu Dhabi (or the Sheikh) to build Masdar City?,summary,0
0,What are good gifts for a foreign visitor to bring when they're invited to someone's home in Martinique for the first time?,summary,0
0,What are good gifts for a foreign visitor to bring when they're invited to someone's home in Pakistan for the first time?,summary,0
0,Should India buy some lands from Nepal in order to widen Siliguri Corridor to get easy access to northeast India?,yesno,2
0,Can Indian government swap some land area with Bangladesh so that the Chicken's neck corridor can be widened to 100+ kilometers?,yesno,2
0,What are constant objects in C++?,summary,0
0,What is constants in C?,summary,0
0,A cab's flat rate is $6 at $0.75 per mile. How many miles could you travel if you only have $20 to spend?,factoid,3
0,Suppose you paddle a canoe at a steady speed of 4 miles per hour. You go 6 miles downstream & upstream. What is the speed of the current?,factoid,3
0,What type of government does Turkey have? How does it compare to the one in Wales?,factoid,3
0,What type of government does Turkey have? How does it compare to the one in Poland?,factoid,3
0,"What is the most interesting fact that I know, but you don't, but I shouldn't?",summary,0
0,What is the most interesting fact that most people don't know about?,summary,0
0,Does Mexico have a wall on its southern border?,yesno,2
0,Is it feasible to build a wall between the US and Mexico as Donald Trump claims he would do?,yesno,2
0,What is unusual or different about the food and cuisine in Sudan?,summary,0
0,What is unusual or different about the food and cuisine in Pakistan?,summary,0
0,What are some core electronics companies in Pune where I can intern?,summary,0
0,What companies are doing core electronics work in Pune?,summary,0
0,What is a company to invest in vietnam?,summary,0
0,How do I get investment for a business in Vietnam?,summary,0
0,What is Himalayan pink salt? Why is it better?,summary,0
0,"What Himalayan salt is the best, and why?",summary,0
0,Which South American country is cheap to live?,factoid,3
0,Which South American country is cheap to travel for a tourist?,factoid,3
0,"Should the US have a ""None of the above"" option for Presidential elections?",yesno,2
0,"Should voters be given a ""None Of The Above"" choice?",yesno,2
0,"If God created the world, who created God?",yesno,2
0,"Who created the ""GOD""?",yesno,2
0,"In a turbine, why is the final enthalpy (of the working substance) in an actual process greater than that of an isentropic process?",yesno,2
0,"In a turbine, why is the final entropy in an actual process greater than that of an isentropic process?",yesno,2
0,Why did Arnab Goswami quitted from Times Now?,yesno,2
0,Why did Arnab Goswami resign as the Editor-in-Chief of Times Now?,yesno,2
0,What's the best why to start up a cafe?,summary,0
0,What are requirements I would need to start my own cafe?,summary,0
0,Does the Sony Xperia Z5 white sides scratch easily?,yesno,2
0,Does a Sony Xperia Z5 have a Gorilla Glass or Dragontrail on its front screen and back?,yesno,2
0,Who invented the middle finger bad gesture? How was it invented?,yesno,2
0,Who invented the middle finger bad gesture?,yesno,2
0,What are the best gifts to give a girlfriend in India?,summary,0
0,What are the best gifts to send to a girlfriend?,summary,0
0,"Is it correct to say ""please let me know if you need help"" or must I use ""whether""?",yesno,2
0,"If I want to say, ""let me know if you can try something and finish doing it"", is it correct to say ""let me know if you could try it""?",yesno,2
0,Are there any Republicans voting for Hillary Clinton?,yesno,2
0,Are there any other republicans (here) who voted for Hillary Clinton?,yesno,2
0,"What does the Tagalog word ""salamat"" mean in English?",factoid,3
0,Tagalog: What does salamat po mean in English?,factoid,3
0,Can anybody help me with Compare and contrast Haroun and Rashid character from story Haroun and the Sea of stories?,yesno,2
0,I want to study biotechnology abroad what do I have to do?,yesno,2
0,Would Donald Trump be the worst president in US history?,yesno,2
0,Is Donald trump going to be the worst president?,yesno,2
0,Is ethics bullshit?,yesno,2
0,Are ethics bullshit?,yesno,2
0,How much did Ticketfly pay for WillCall?,factoid,3
0,How much did Microsoft pay for LiveLoop?,factoid,3
0,What are the best top 10 movies of Hollywood ever?,summary,0
0,What are the best movies of Hollywood?,summary,0
0,"What if the whole world had only one religion, could we think the world can be at peace then?",yesno,2
0,"If the whole world were to follow only one religion, would it be more peaceful?",yesno,2
0,How do I get rid of mosquitoes bites quickly?,summary,0
0,How do I get rid of mosquito bite marks?,summary,0
0,Did Tywin sleep with Shae out of pure spite?,yesno,2
0,Why does Tywin sleep with Shae in A Storm of Swords?,yesno,2
0,What is it like being the third or non-primary person in a polyamorous relationship?,factoid,3
0,What is it like to be third-wheeled in a polyamorous relationship?,factoid,3
0,"Is NATO and CIA behind Turkey's failed coup, why Turkey purges NATO military envoys?",yesno,2
0,Would NATO defend Turkey if Russia attacked?,yesno,2
0,What are the most efficient programming algorithms to solve sudoku puzzles?,summary,0
0,What are some puzzles similar to Sudoku?,summary,0
0,Where can I get my MacBook motherboard repaired in Kolkata?,yesno,2
0,Where can I get my MacBook R.A.M repaired in Kolkata?,yesno,2
0,What is your theory of life?,summary,0
0,What are some theories of life?,summary,0
0,What are alternatives to healthprofs.com?,summary,0
0,What are some alternatives to thebetafamily.com?,summary,0
0,How likely is it for a black guy to date an Indian girl?,yesno,2
0,Do black guys like to date Indian girls?,yesno,2
0,What is mutual funds with examples?,summary,0
0,What is mutual fund all about?,summary,0
0,What are the proofs of quantum entanglement?,summary,0
0,What is quantum entanglement?,summary,0
0,Should I find a new piano teacher to replace my current one?,yesno,2
0,I find it easy to do many tasks at a time but my parents and teachers advise me to do one thing at a time. Is my attitude right or should I change?,yesno,2
0,What is the function of gear box?,summary,0
0,What is the advantges of a constant mesh gear box over the sliding mesh gear box?,summary,0
0,"What is the difference between an UberX, Uber Black and Uber Taxi?",summary,0
0,How does Uber compare to taxis in New York City?,summary,0
0,How do I burn a dvd movie using windows 10? (PLEASE read description before answering),summary,0
0,What are High pitch Bollywood music songs?,summary,0
0,Why is Quora claiming my questions need improvement?,yesno,2
0,Why does Quora keep telling me my question needs improvement?,yesno,2
0,What are the differences between a B-tree and a B+ tree?,summary,0
0,What are the differences between B+Tree and B-Tree?,summary,0
0,What universities does Limelight Networks recruit new grads from? What majors are they looking for?,yesno,2
0,What universities does Extreme Networks recruit new grads from? What majors are they looking for?,yesno,2
0,"In terms of reputation, can McGill University compare with the Ivy league?",yesno,2
0,How much does it cost to fund Ivy League degree?,yesno,2
0,What do you mean by financial statement analysis?,summary,0
0,What is the need for a financial statement analysis?,summary,0
0,What are human impacts on biodiversity?,summary,0
0,What is the human impact on biodiversity?,summary,0
0,People needs rikshaw stands. Aren't you having trouble due to them?,yesno,2
0,I want to move to IT but I don’t know programming nor do I want to do programming. Are there any other career paths?,yesno,2
0,Do I need to notify the airline counter that I have a replica air pistol or rifle in my checked baggage for international flights?,yesno,2
0,Me and my family have expired bi/b2 visa that we did not use. can we reapply for renewal?,yesno,2
0,Can we really hack Facebook?,yesno,2
0,Can I hack Facebook?,yesno,2
0,How can I retrieve a discarded draft on Gmail?,summary,0
0,Gmail: How do I retrieve Gmail drafts?,summary,0
0,How is erectile dysfunction treated?,summary,0
0,How do I overcome erectile dysfunction due to over masturbation?,summary,0
0,Can you still learn new languages after childhood?,yesno,2
0,Are new languages still being created?,yesno,2
0,What is the best place to visit in the world? What is the best place to visit in India? What is the best place to visit in Bihar?,summary,0
0,What is the best place in India to visit?,summary,0
0,Will Google purchase Twitter?,yesno,2
0,Will Google acquire Twitter?,yesno,2
0,"What are some examples of sentences using the word ""acceptance""?",summary,0
0,"What are examples of sentences using the word ""perception""?",summary,0
0,What should be the strategy to clear IBPS PO?,summary,0
0,How do prepare the prelims exam of IBPS PO?,summary,0
0,What is ethical dilemma?,summary,0
0,What are ethical dilemmas?,summary,0
0,Why do Trump supporters believe that Donald Trump can get his platform through congress?,yesno,2
0,Why do you think Donald Trump is getting so much support?,yesno,2
0,How much does an Ola Mini cab earn on average per month from an investor's point of view in Mumbai?,yesno,2
0,How much does an Ola Mini cab earn on average per month from an investor's point of view in Bangalore?,yesno,2
0,What happens to a question on Quora if it is marked as needing further improvement?,yesno,2
0,"How can I ask Quora a question about something that was marked ""needs improvement?""?",yesno,2
0,What do iCloud backup from an app?,summary,0
0,How do I remove an app from iCloud?,summary,0
0,How can I delete an old Facebook account that I forgot it's password?,yesno,2
0,How do I get into my Instagram if I forgot my email and my Facebook password?,yesno,2
0,What is operation quality?,summary,0
0,What is the operation quality?,summary,0
0,Is it possible to root an iOS into an Android phone?,yesno,2
0,Is it possible to install iOS to an Android phone?,yesno,2
0,What are some creative and innovative business ideas with less investment in India?,summary,0
0,What are some best business ideas with minimum investment?,summary,0
0,Is it legal for traffic police to stand in the middle of the road to stop vehicles?,yesno,2
0,Is it legal for a traffic police to stand at the middle of the road to stop vehicles?,yesno,2
0,Why is the European society ignoring the slaughter and the cruelty preformed in Arakan?,yesno,2
0,[Late 2015 / Early 2016] Why does the United Kingdom want to leave the European Union? Why do some people there want to quit the EU?,yesno,2
0,Is it stealing if you steal from a thief?,yesno,2
0,Is it stealing if you're stealing from a thief?,yesno,2
0,"What is a ""quasi-contract""? What are some examples?",summary,0
0,What are some examples of the essentials of a valid contract?,summary,0
0,"What is more beneficial to learn, SolidWorks or Catia?",factoid,3
0,"Are softwares like SolidWorks, CATIA and Pro E for different applications? Which is the best one? Why?",factoid,3
0,Can i register a car that failed inspection?,yesno,2
0,I'm living in WA and looking to bring a muscle car from another state. The car has a bigger motor in it willthis mean that I can not register it here?,yesno,2
0,Which is the best modular kitchen in india?,factoid,3
0,Which is the best modular kitchen in Bangalore?,factoid,3
0,"If a girl I'm dating calls me another name twice in a matter of 2 months, is it a bad sign?",yesno,2
0,"In my late twenties, every time I start dating a girl, she will disappear after 1-2 months and stops answering calls/texts. What's going on?",yesno,2
0,I had send my resume below.?,yesno,2
0,"In a company, whom should I send my resume to?",yesno,2
0,What is the difference between Shia and Shiite?,summary,0
0,In what way is the Ismaili sect different from the other Shia groups?,summary,0
0,What does it cost to replace brakes on a bicycle?,factoid,3
0,What is the average cost to replace brakes and rotors?,factoid,3
0,Is Zee news a BJP owned channel?,yesno,2
0,Why is ZEE News so anti-AAP?,yesno,2
0,I am a guy with chest size 38 and hip size 41. I want to reduce my hip size.What should I do?,yesno,2
0,What exercise can help to reduce the weight on my arms?,yesno,2
0,How can I be a native English speaker?,summary,0
0,How do I speak English like celebrities?,summary,0
0,How do you write a beautiful introduction to an essay?,summary,0
0,How do I write the introduction of an essay?,summary,0
0,What do people from Myanmar think about Indians?,summary,0
0,What do people think about Indian women?,summary,0
0,What are the best things to buy on Amazon?,summary,0
0,What is the best thing I can buy for 2€ on Amazon?,summary,0
0,What side dishes go well with hamburgers?,summary,0
0,What side dishes would go well with lamb chops?,summary,0
0,Have you ever experienced anything supernatural or paranormal?,yesno,2
0,"Is there a paranormal event that you have experienced, which science cannot explain?",yesno,2
0,How can I improve digestion?,summary,0
0,How can we improve our digestion?,summary,0
0,"If I have a permanent retainer, do I need to wear the removable ones at all?",yesno,2
0,Is it safe to floss with permanent retainer?,yesno,2
0,How can I Publish Theses on dentistry on International Library for thesis?,summary,0
0,How can I Publish Theses on Education on International Library for thesis?,summary,0
0,What are some Cyanide and Happiness comics on countries?,summary,0
0,What are the best Cyanide & Happiness comics?,summary,0
0,"If 204=8, 503=13, 305=11 and 907=25, what is 705?",summary,0
0,Why can I not multiply fractions in Python?,summary,0
0,"If cold air is denser than hot air, then why does the temperature decrease as the altitude rises?",yesno,2
0,Physics: Why is polluted air denser than cold air?,yesno,2
0,How do lymph nodes form?,summary,0
0,What are lymph nodes?,summary,0
0,How can I buy Tesla shares / stock?,summary,0
0,How do I buy stocks?,summary,0
0,"In the world, we are second largest country in terms of population, but we win only very few medals in the Olympics. Why?",yesno,2
0,"If India is the second largest in population, why do they not have Olympic medals like China or the US?",yesno,2
0,What's your favourite meal?,summary,0
0,What is your favourite meal and why?,summary,0
0,What is the power nine in magic?,summary,0
0,What are the Power 9 cards in Magic: The Gathering?,summary,0
0,What are some good books for JEE Mains only?,summary,0
0,What are the best books to practice for JEE mains only?,summary,0
0,Why are the Seven Wonders of the World referred to as Wonders?,summary,0
0,What are the Seven Wonders of the World?,summary,0
0,How do you know if someone is doing black magic on you?,yesno,2
0,How do you know by looking at someone that they do black magic?,yesno,2
0,"In 2 days, how should I prepare for Mu Sigma?",summary,0
0,What is the best way to prepare for Mu Sigma?,summary,0
0,Is MITID a good institute for filmmaking?,yesno,2
0,Is Edupristine a good institute for SAP Learning?,yesno,2
0,"What's it like to find a picture of you, friends, or family on a ""funny/awkward"" photo site?",factoid,3
0,What a picture or photo that makes you think a lot when you see it?,factoid,3
0,"How long will the Pokémon GO ""fever"" will last?",factoid,3
0,How long you thing this Pokémon GO trend will last?,factoid,3
0,How do I address Dr. Richard Muller if I meet him? Do I use the German pronunciation with umlaut or the simple English one?,factoid,3
0,What does it mean when my boyfriend calls me sexy?,factoid,3
0,Which car services are available in Nashville? How good are they compared to taxis and relative to each other?,factoid,3
0,Which car services are available in Philadelphia? How good are they compared to taxis and relative to each other?,factoid,3
0,How can I improve my writing skills and blog style?,yesno,2
0,How can I improve my writing skills for writing a book?,yesno,2
0,What is the concept of sustainable development?,summary,0
0,What is sustainable development?,summary,0
0,EMTs and Paramedics: How does one treat a gunshot wound?,summary,0
0,How do you treat gunshot wounds?,summary,0
0,How did Donald Trump become president?,summary,0
0,How did Donald Trump win despite projections that he would fail?,summary,0
0,Where do nuclear reactions occur in the sun? Why do they happen?,factoid,3
0,What causes nuclear reactions in the Sun?,factoid,3
0,Is a career in A*STAR in Singapore really worth it?,yesno,2
0,I am a Computer Science student in the UK - is it worth attending Echelon 2012 in Singapore?,yesno,2
0,"I sent a gift to a potential mentor and followed up 4 days later. Still no response, should I show up to to his next event? What would you do? Ty :)",yesno,2
0,Why is the analog computer faster than digital?,yesno,2
0,How do we forget any Wi-Fi in Windows 10?,summary,0
0,How do I fix Windows 10 Wi-Fi disconnecting issue?,summary,0
0,I am stuck between Electrical Engineering and Pre-Med. Any advice?,yesno,2
0,Is vBulletin 5 Connect SEO really not performing well?,yesno,2
0,I want to chat with my friend but I don't know what to talk about?,yesno,2
0,"If the average British person doesn't care about carrying weapons for self defence, why do U.S. gun lobby and people still write about it?",yesno,2
0,"What are the practical applications of fork(), vfork(), exec() and clone()?",summary,0
0,How do I design a Telescopic fork?,summary,0
0,What are the main uses of a computer network?,summary,0
0,What is computer networking?,summary,0
0,Why does Donald Trump have orange skin?,yesno,2
0,Does Donald Trump have hereditary hemochromatosis? It causes bronzed skin and encephalopathy.,yesno,2
0,Are animals capable of feeling/experiencing emotions unknown to humans?,yesno,2
0,Do animals have the same emotions as humans?,yesno,2
0,What do you wish Americans would learn before visiting Germany?,summary,0
0,How can I integrate Bitbucket with Microsoft Azure to build and deploy applications?,summary,0
0,How would Donald Trump's win affect India?,summary,0
0,How will Donald Trump benefit India?,summary,0
0,What is “India Post Payments Bank”?,summary,0
0,What is the procedure for sending a speed post in India?,summary,0
0,How can changing 500 and 1000 rupee notes end the black money in India?,yesno,2
0,Will banning Rs.500 and Rs.1000 notes help to solve black money and corruption?,yesno,2
0,How can I overcome suicidal thoughts?,summary,0
0,How do I overcome suicide thoughts?,summary,0
0,How windy must it be to delay a plane takeoff on an average airliner flight?,yesno,2
0,"If every passenger on an airliner were to suddenly rush to one end of the plane, would it cause any hindrance to the flight?",yesno,2
0,How much excercise to lower blood pressure?,yesno,2
0,What are fast ways to lower blood pressure?,yesno,2
0,Ancient Hindus sailed from India to Indonesia. Why didn't they sail further to discover Australia? Why didn't Dutch discover Australia from Indonesia?,yesno,2
0,Why didn't any Indians go to Occupy Australia when it is close to India?,yesno,2
0,Can we eat meat with dairy products?,yesno,2
0,Is eating meat and dairy okay?,yesno,2
0,Will six hours of nightly sleep stunt the growth of a 14-year-old teen?,yesno,2
0,How much sleep does a 14-year-old teen need?,yesno,2
0,Why did Sirius have to travel north in GOF?,yesno,2
0,Why did Sirius Black have to travel north in GOF?,yesno,2
0,What does unrooted mean?,factoid,3
0,What is the unroot of -1?,factoid,3
0,How do I learn to ride a bike as an adult?,summary,0
0,How do I ride a bicycle?,summary,0
0,What is the difference between angel investors and VCs?,summary,0
0,What's the difference between a VC and an Angel Investor?,summary,0
0,What are the best Bible verses to use in wedding ceremonies?,summary,0
0,What are some good Bible verses to read before bed?,summary,0
0,Can we stop global warming?,yesno,2
0,Do we have any good ways to stop global warming?,yesno,2
0,What is the scope for girls in mechanical engineering?,summary,0
0,What is the scope of mechanical engineering for girls?,summary,0
0,Why are people addicted to pornography?,yesno,2
0,Why do people become addicted to pornography?,yesno,2
0,Why am I afraid to be myself?,yesno,2
0,Why am I afraid of telling my boyfriend I love him?,yesno,2
0,What are the best and most effective openings in chess?,summary,0
0,What are the best opening moves in chess?,summary,0
0,I am an Indian and want to marry a Pakistani girl. What should I do?,yesno,2
0,I am a Pakistani girl and want to get admission in IIT in India. What should I do?,yesno,2
0,What do linguists think of the movie Arrival?,summary,0
0,What did Dr. Louise tell the the Chinese at the end in Arrival Movie?,summary,0
0,Re-entry permit expired but Green Card is still valid. Can I go back to study in the USA?,yesno,2
0,"If I already have a valid V-1 category visitor visa (multiple-entry) to Canada, do I still need another TRV along with a study permit?",yesno,2
0,Is there any way to recover registration number of ICAI?,yesno,2
0,"I flunked CPT june 2016, but I want to give it again in december . Do I need to register again?",yesno,2
0,"Does Research Publications in high impact factor, peer reviewed International Journals, help you in securing Admissions in Top Graduate schools?",yesno,2
0,What would happen if your entire city suddenly decided to listen to you?,yesno,2
0,How much do dental implants cost in India?,summary,0
0,"What is the price for dental implants in Delhi, India?",summary,0
0,What effect will the presence of a conductor between two point charges have on the Coulomb force between them?,summary,0
0,How does the presence of a dielectric between two point charges affect the Coulomb force between them?,summary,0
0,Which wood glue would be best for repairing a cricket bat?,factoid,3
0,Which glue is best for repairing a cricket bat?,factoid,3
0,What are some things new employees should know going into their first day at Glu Mobile?,yesno,2
0,What are some things new employees should know going into their first day at T-Mobile?,yesno,2
0,What are the pros and cons of flat feet in babies?,summary,0
0,What are the pros and cons of flat feet?,summary,0
0,Do you wake up at the same time every day (even weekends)?,yesno,2
0,Why is it so hard to wake up in the morning?,yesno,2
0,What are some of the most technical questions asked in an interview?,summary,0
0,What are the questions asked by an interviewer in technical interview?,summary,0
0,Do government engineering colleges follow the 75% attendance rule strictly?,yesno,2
0,Can I get MITS gwalior with 95 in JEE and 89% in cbse 12?,yesno,2
0,"What are some of the best ""You know you are in Kolkata when.."" statements?",summary,0
0,"What are some of the best ""you know you are in Lucknow when"" statements?",summary,0
0,How I will become a Bollywood writer?,summary,0
0,How can someone become a Bollywood lyrics writer?,summary,0
0,What makes great movies incredibly engaging?,summary,0
0,What are the best movies with a plot twist?,summary,0
0,How reliable is purchasing jewellery from Bluestone?,summary,0
0,How do I post gold jewellery from France to the U.K.?,summary,0
0,Whose questions do you follow the most on a regular basis?,yesno,2
0,What do you think is the most important and empowering single question a person could ask himself regularly in order to have an extraordinary life?,yesno,2
0,How do I start a plant nursery?,summary,0
0,How do I get start plant nursery?,summary,0
0,How do I avoid vomiting during travel in hilly areas?,summary,0
0,Why do people vomit while travelling in buses?,summary,0
0,Is there an issue with air around planet earth?,yesno,2
0,Is there an issue with light around planet earth?,yesno,2
0,How was Thich Quang Duc able to burn himself to death without moving a muscle?,yesno,2
0,Are there any books written on the life of the monk Thich Quang Duc before he killed himself?,yesno,2
0,What is the best quote you’ve heard?,summary,0
0,What is a good quote you have heard today?,summary,0
0,Can Brahmins eat eggs?,yesno,2
0,Why do Brahmins not eat non-vegetarian food?,yesno,2
0,How do I stop my Yorkie/Corgi mix from chewing my shoes?,summary,0
0,How do I prevent my dog from chewing cushions?,summary,0
0,What is a PAN card?,summary,0
0,What is the fastest way to get a PAN card?,summary,0
0,Are egg eaters vegetarians?,yesno,2
0,Are eggs and milk considered vegetarian or non-vegetarian food?,yesno,2
0,How can I build traffic for my website?,summary,0
0,How can I increase traffic on my blog?,summary,0
0,How can i learn java programming language?,summary,0
0,What is Java programming? How To Learn Java Programming Language ?,summary,0
0,"Do Trump supporters believe his claims about his tax returns, or do they just not care?",yesno,2
0,"Do Donald Trump supporters actually not care about his tax returns, or do they just tolerate them and look at the bigger picture?",yesno,2
0,"How IT system works in a mall, market places?",summary,0
0,What is meant by institutional framework of public policy?,summary,0
0,Why is ranch dressing so popular?,yesno,2
0,Is ranch dressing good for you?,yesno,2
0,How I become a good teacher?,summary,0
0,How do you become a good teacher?,summary,0
0,How do I tell if somebody is intelligent?,yesno,2
0,Could small talk be used to test someone's intelligence?,yesno,2
0,How can I get rid of little black spiders in my house?,summary,0
0,How can I get rid of white spiders in my house?,summary,0
0,Are Secret Service agents that protect politicians chosen for duty by their political affiliation?,yesno,2
0,Can a Secret Service agent's political views interfere with their duty?,yesno,2
0,"People with high IQ often find other people generally ""stupid"" or slow. Can I get few specific examples from daily life?",yesno,2
0,"If stupid people join quora, will that make Quora stupid?",yesno,2
0,Why don't we connect the direct DC power that we get from the solar photo-voltaic to the HVDC transmission?,yesno,2
0,"Since India has its own one nation one grid concept, why can't we load all of the HVAC lines with a HVDC supply so that transmission losses will lessen considerably?",yesno,2
0,"What is the meaning of automatic route, FIPB route, etc. of FDI? What are the pro and cons of each entry gate within the Indian economy? What is the rationale behind choosing one over the other?",summary,0
0,What are the diffences between FDI and FII?,summary,0
0,Does critical thinking help to burn calories?,yesno,2
0,Does thinking burns calories?,yesno,2
0,What are some ways to delete my Yahoo Mail account?,summary,0
0,What are some ways to delete my Yahoo Mail account permanently?,summary,0
0,How much bigger can a male bicep muscles get than a female's?,yesno,2
0,How much bigger can a male's bicep muscles get than a female's?,yesno,2
0,What is the formula of [math](a+b)^3[/math]?,summary,0
0,How can I be great at math?,summary,0
0,How can a company make profit but still be cash flow negative?,summary,0
0,How does change in working capital affect a company's cash flow?,summary,0
0,Does meditation increase creativity?,yesno,2
0,Can meditation increase creativity?,yesno,2
0,What is the thought process behind designing a country's national flag?,summary,0
0,How is the story behind your country's national flag?,summary,0
0,"Miracle: If any, what is the scientific mystery behind the Tilma of the Lady of Guadalupe?",summary,0
0,What is the mystery behind the iron piller of Delhi?,summary,0
0,How do swimming pool filters work?,summary,0
0,How do seawater swimming pools work?,summary,0
0,Which tools do start up accelerators use to track the progress of their companies?,factoid,3
0,Which tools or methods can be used to track as to how often your followers/fans click “like” and comment upon the status updates you/your company post?,factoid,3
0,How does one fall in love?,summary,0
0,How is it to fall in love.?,summary,0
0,"Marx said ""The religion is opium of the people"". Then how and why Communist parties of India turned anti-Hindu?",yesno,2
0,Why are the Indian Left called anti-Hindu when communist ideology is against all religions?,yesno,2
0,What is your favorite saying and why?,summary,0
0,What are some of your favorite sayings?,summary,0
0,Why does the caste system persist in India?,yesno,2
0,Why caste system still survive in India?,yesno,2
0,What is the resistance of an ideal voltmeter and ammeter?,summary,0
0,What is the actual resistance of ammeter and voltmeter that we use in laboratory?,summary,0
0,What are some unexpected things first-time visitors to Guinea notice?,summary,0
0,What are some unexpected things first-time visitors to Nepal notice?,summary,0
0,Is it true that the new Rs. 2000 currency notes in India will have a nano GPS chip?,yesno,2
0,How much is the truth that the new high denomination currency of India are being embedded with GPS nano chips?,yesno,2
0,What is the best app for Berlin public transportation?,summary,0
0,What are the best public transportation apps to help me in Berlin?,summary,0
0,"I'm thinking about making and then publishing a comic series featuring anthropomorphic Pokemon, but how do I do that without copyright infringement?",summary,0
0,What do you think of the Doga comic series?,summary,0
0,"How much, if at all, will cotton khakis shrink when washed?",summary,0
0,Why does cotton shrink when washed?,summary,0
0,"Now that Britain has voted to leave the EU, what happens now?",summary,0
0,[Before Brexit vote] What are the pros and cons of Britain exiting/staying in the EU?,summary,0
0,"Who is your role model, and why?",yesno,2
0,Who is your role model and why?,yesno,2
0,"How much money per month is enough to live as a graduate student in Birmingham, UK?",yesno,2
0,"How much money is enough for a student to live in Birmingham, UK?",yesno,2
0,How did you teach your kid not to lie?,yesno,2
0,What are good ways to teach children not to lie?,yesno,2
0,How does Minerva Schools differ from other for-profit universities in the US?,summary,0
0,Why will Minerva succeed when many other for-profit universities have been bad investments?,summary,0
0,How do I get clients for my software startup company?,summary,0
0,What are the best ways to get clients for software startup?,summary,0
0,How do I delete my questions off Quora?,summary,0
0,How do I delete a question from Quora?,summary,0
